username,time
1._Введение_в_науку_о_данных.pdf,29300,114
1.Введение.pdf,141,59
10._NoSQL_хранилища_2021.pdf,95,55
11._Redis_2021.pdf,68,48
12._MongoDB_2021.pdf,73,45
13._Cassandra_2021.pdf,65,46
14._Neo4j_2021.pdf,55,44
2.Python.pdf,481,93
2._Инструменты_обработки_данных.pdf,311,87
3._Визуализация_данных.pdf,229,78
4._Анализ_и_преобразование_данных.pdf,221,78
5._Работа_с_временными_рядами.pdf,49,31
5._Работа_с_временными_рядами_2022.pdf,116,52
6._Системы_управления_базами_данных.pdf,169,70
7._Проектирование_структурированных_данных.pdf,234,73
8._Запросы_на_языке_SQL.pdf,216,72
9._Объекты_базы_данных.pdf,136,64
LogisticRegression.pdf,102,53
SVM.pdf,73,47
norm_МГК.pdf,100,53
Классификаторы_KNN_и_наивный_байес_fin.pdf,113,54
Кластеризация_fin.pdf,92,51
Подкрепление.pdf,88,47
Регрессия_fin.pdf,109,55
Ресемплинг.pdf,61,38
Энтропия_и_ДПР.pdf,70,43
