date,count
2024-02-10,203
2024-02-11,1577
2024-02-12,673
2024-02-13,694
2024-02-14,1154
2024-02-15,736
2024-02-16,934
2024-02-17,1052
2024-02-18,1101
2024-02-19,1157
2024-02-20,964
2024-02-21,1429
2024-02-22,1584
2024-02-23,1288
2024-02-24,1297
2024-02-25,1131
2024-02-26,950
2024-02-27,1100
2024-02-28,1280
2024-02-29,901
2024-03-01,587
2024-03-02,1482
2024-03-03,797
2024-03-04,579
2024-03-05,1008
2024-03-06,936
2024-03-07,1146
2024-03-08,1259
2024-03-09,1750
2024-03-10,1737
2024-03-11,2413
2024-03-12,1486
2024-03-13,1719
2024-03-14,2374
2024-03-15,1122
2024-03-16,1227
2024-03-17,2437
2024-03-18,1374
2024-03-19,2104
2024-03-20,2215
2024-03-21,2278
2024-03-22,1664
2024-03-23,3956
2024-03-24,3799
2024-03-25,2624
2024-03-26,325
2024-03-27,197
2024-03-28,248
2024-03-29,84
2024-03-30,50
2024-03-31,106
2024-04-01,55
2024-04-02,56
2024-04-03,194
2024-04-04,28
2024-04-05,227
2024-04-06,297
2024-04-07,226
2024-04-08,322
2024-04-09,138
2024-04-10,114
2024-04-11,214
2024-04-12,128
2024-04-13,119
2024-04-14,67
