pdf_name,views_count,unique_students_count
1._Введение_в_науку_о_данных.pdf,10615,151
10._NoSQL_хранилища_2021.pdf,13,10
11._Redis_2021.pdf,28,5
12._MongoDB_2021.pdf,9,8
13._Cassandra_2021.pdf,5,5
14._Neo4j_2021.pdf,8,6
2._Инструменты_обработки_данных.pdf,97,60
3._Визуализация_данных_2022.pdf,99,55
4._Анализ_и_преобразование_данных.pdf,240,71
5._Работа_с_временными_рядами_2022.pdf,161,64
6._Системы_управления_базами_данных.pdf,3,3
6_Системы_управления_базами_данных.pdf,39,25
7._Проектирование__структурированных_данных.pdf,8,2
7_Проектирование_баз_Использование_языка_SQL_DDL__для_создание_структур_данных.pdf,35,21
8._Запросы_на_языке_SQL.pdf,16,12
9._Объекты_базы_данных.pdf,12,10
Проектирование_баз_Использование_языка_SQL_DDL__для_создание_струтур_данных.pdf,2,1
