date,count_of_users
2022-06-21,2
2022-06-28,1
2022-06-29,1
2022-06-30,82
2022-07-01,68
2022-07-02,60
2022-07-03,66
2022-07-04,82
2022-07-05,71
2022-07-06,79
2022-07-07,89
2022-07-08,54
2022-07-09,50
2022-07-10,58
2022-07-11,77
2022-07-12,71
2022-07-13,71
2022-07-14,75
2022-07-15,56
2022-07-16,45
2022-07-17,54
2022-07-18,66
2022-07-19,67
2022-07-20,70
2022-07-21,80
2022-07-22,56
2022-07-23,46
2022-07-24,50
2022-07-25,67
2022-07-26,62
2022-07-27,73
2022-07-28,72
2022-07-29,44
2022-07-30,54
2022-07-31,55
2022-08-01,55
2022-08-02,66
2022-08-03,70
2022-08-04,72
2022-08-05,59
2022-08-06,45
2022-08-07,52
2022-08-08,59
2022-08-09,62
2022-08-10,67
2022-08-11,71
2022-08-12,59
2022-08-13,42
2022-08-14,48
2022-08-15,58
2022-08-16,58
2022-08-17,58
2022-08-18,67
2022-08-19,57
2022-08-20,36
2022-08-21,51
2022-08-22,57
2022-08-23,63
2022-08-24,55
2022-08-25,65
2022-08-29,49
2022-08-30,49
2022-08-31,43
2022-09-01,45
2022-09-02,23
2022-09-03,12
2022-09-04,6
2022-09-10,10
2022-09-11,39
2022-09-12,57
2022-09-13,58
2022-09-14,66
2022-09-15,60
2022-09-16,46
2022-09-17,38
2022-09-18,46
2022-09-19,58
2022-09-20,44
2022-09-21,43
2022-09-22,55
2022-09-23,35
2022-09-24,30
2022-09-25,42
2022-09-26,41
2022-09-27,49
2022-09-28,49
2022-09-29,51
2022-09-30,41
2022-10-01,30
2022-10-02,40
2022-10-03,43
2022-10-04,40
2022-10-05,49
2022-10-06,42
2022-10-07,33
2022-10-08,23
2022-10-09,26
2022-10-10,42
2022-10-11,43
2022-10-12,35
2022-10-13,36
2022-10-14,44
2022-10-15,30
2022-10-16,33
2022-10-17,46
2022-10-18,25
2022-10-19,31
2022-10-20,19
2022-10-21,20
2022-10-22,9
2022-10-23,16
2022-10-24,12
2022-10-25,7
2022-10-26,9
2022-10-27,5
2022-10-28,15
2022-10-29,8
2022-10-30,7
2022-10-31,7
2022-11-01,13
2022-11-02,12
2022-11-03,11
2022-11-04,9
2022-11-05,4
2022-11-06,4
2022-11-07,7
2022-11-08,9
2022-11-09,7
2022-11-10,7
2022-11-11,8
2022-11-12,8
2022-11-13,8
2022-11-14,11
2022-11-15,8
2022-11-16,9
2022-11-17,5
2022-11-18,5
2022-11-20,6
