user_id,time_on_course
3283529,"21 days, 1:47:07"
3280720,"20 days, 22:52:26"
3280695,"19 days, 6:00:57"
3280681,"18 days, 10:40:59"
3280697,"17 days, 8:20:08"
3280694,"17 days, 4:58:17"
2882692,"16 days, 5:51:39"
3280701,"14 days, 21:20:09"
3280693,"14 days, 17:12:28"
3280668,"14 days, 10:25:21"
3280736,"13 days, 16:25:23"
,"13 days, 9:19:41"
3280672,"13 days, 7:48:43"
3280702,"13 days, 4:55:02"
3280711,"13 days, 2:15:58"
3280733,"13 days, 1:33:55"
3280677,"13 days, 1:13:36"
3280685,"12 days, 15:23:48"
3280730,"12 days, 12:24:55"
3280679,"12 days, 0:58:12"
638515,"11 days, 7:35:58"
2683038,"11 days, 0:07:11"
3280732,"10 days, 18:41:20"
3280724,"10 days, 18:38:00"
3280728,"10 days, 16:37:14"
3280722,"10 days, 6:02:19"
3280667,"10 days, 5:13:48"
3280680,"10 days, 4:47:55"
3283781,"9 days, 23:42:51"
3280686,"9 days, 15:55:23"
3280674,"9 days, 14:47:55"
3280703,"9 days, 13:26:42"
3284024,"9 days, 13:06:03"
3280678,"9 days, 10:55:12"
3094901,"9 days, 5:10:38"
325428,"8 days, 21:19:05"
3280683,"8 days, 19:40:19"
3280912,"8 days, 18:15:15"
3272654,"8 days, 14:25:55"
3280708,"8 days, 12:55:21"
3282368,"8 days, 12:19:04"
2994713,"8 days, 11:34:22"
3280706,"8 days, 10:16:39"
3283533,"8 days, 7:59:52"
3276453,"8 days, 6:00:05"
3280705,"8 days, 5:43:29"
3280723,"8 days, 3:41:09"
269892,"8 days, 2:33:44"
1329024,"8 days, 0:20:08"
3280696,"7 days, 19:27:28"
3280682,"7 days, 18:57:31"
3280718,"7 days, 17:05:42"
3280688,"7 days, 12:37:43"
3283532,"7 days, 7:35:09"
3280698,"7 days, 6:27:15"
3280689,"6 days, 23:56:51"
3284350,"6 days, 22:12:13"
3280687,"6 days, 18:59:24"
3280729,"6 days, 18:50:35"
3280684,"6 days, 16:03:12"
3280731,"6 days, 12:15:04"
3280673,"6 days, 10:37:29"
3280704,"6 days, 8:24:14"
3280700,"6 days, 3:29:42"
3280719,"5 days, 21:11:40"
158,"5 days, 20:49:40"
1645155,"5 days, 16:36:12"
3280713,"5 days, 12:36:11"
3283821,"5 days, 9:21:59"
3280690,"5 days, 8:03:43"
144,"5 days, 1:06:38"
3280670,"4 days, 21:42:45"
3281650,"4 days, 19:22:12"
3280699,"4 days, 19:03:22"
3287849,"4 days, 15:28:09"
2886618,"4 days, 13:06:25"
3280675,"4 days, 10:40:21"
3280709,"4 days, 7:36:31"
3283885,"4 days, 4:29:38"
3287851,"4 days, 3:45:41"
3280911,"4 days, 2:33:59"
484680,"4 days, 2:18:21"
3281157,"4 days, 1:28:00"
3280707,"3 days, 22:05:32"
3280717,"3 days, 21:27:14"
3280716,"3 days, 20:53:06"
3280715,"3 days, 16:46:45"
3287846,"3 days, 15:59:00"
3281153,"3 days, 15:09:00"
3279111,"3 days, 2:50:05"
3282369,"3 days, 2:11:03"
3287845,"2 days, 22:49:58"
3296507,"2 days, 22:19:29"
3280734,"2 days, 20:37:27"
3280721,"2 days, 14:37:04"
3296508,"2 days, 13:22:33"
2039114,"2 days, 11:37:40"
3092694,"2 days, 10:51:11"
3280725,"2 days, 6:37:40"
3280692,"2 days, 6:12:38"
3280669,"2 days, 2:18:13"
3280712,"2 days, 0:09:33"
3280671,"1 day, 23:23:10"
3280666,"1 day, 19:18:50"
3296509,"1 day, 19:17:14"
3283822,"1 day, 16:06:20"
3280735,"1 day, 13:40:16"
847852,"1 day, 10:41:44"
3287847,"1 day, 7:29:57"
3280676,"1 day, 5:39:32"
3280710,"1 day, 3:02:36"
2851926,20:06:10
236789,16:58:53
3280714,16:42:15
3283451,16:34:08
30996,14:53:26
3281154,13:40:24
2885609,9:20:26
64123,5:43:04
184725,0:29:51
1424165,0:19:39
3211558,0:00:42
3238289,0:00:25
3227510,0:00:24
2859429,0:00:04
3287850,0:00:03
