username,days_of_activity
kotovaly,95
kucheruksv,92
fadeevrv,91
troyanovaa,91
cherepanovaev,80
yurevaoa,80
gadzhieva_elvira,76
mezan,75
sobolevama,75
gorumo,74
xmmmmm,73
shishkovavm,73
skopincevan,72
alenatresh,72
ryattelav,71
tanyaahtanya,71
hodyrevan,70
petrovarts,70
tishchenkodv,70
ezhovaga,69
mengyas,69
smolchenkomy,69
popovaverval,69
silaevama,68
mileniniv,67
rogozinaiv,66
dajbageds,66
OlgaStrelnikova,66
burbelaas,65
zamulinaov,64
suprun_a,64
demidovaee,64
petrovake,64
antondnn,64
polikarpovoa,63
matveyukov,63
lohnevaei,62
krylovaos,61
kozminyhms,61
andrey_andreew,61
lazutkinn,61
bondarevskijmn,60
mihajlovaev,59
savelevmm,59
dvolchek,59
anastasiiashadchneva,59
solodilovasv,58
pavlovatv,58
dyakonovasg,57
martyshevdv,57
ponkratovaaa,57
bazhutinaov,54
konyaev-alexsandr,54
antonkireew,53
dyachenkoov,51
id_brunetochka,50
lyalikovavg,50
ibatullinaav,50
muravevalv,50
parnovaim,49
soa_,49
kazymovaya,48
antoni_chupis,47
samohinavalo,46
dgluschenko,46
rylevagv,45
volkovayv,45
dubravinna,45
rigosikos,45
abrosimovaoe,44
kushmanovati,43
vorobevmy,42
zlobnovaai,42
shulikavg,39
id160430089,38
kozyrevaes,37
zyryanovamo,37
zhmurinaad,36
braunve,34
gorbunovaa,34
akimovnv,33
sivakovia,32
lactea,32
markinaekal,31
reshetnikovams,31
mironovaekal,31
komarovdi,29
oegorova,29
mishchenkoma,28
sizovny,28
sorokinasofig,27
ratnersv,26
krapivinasa,25
balashovasa,24
plotnikoviv,23
evsikovks,23
matveevamn,21
shchitovaaa,21
gudisea,20
semenovnn,20
novikovaea,19
lazyrinms,18
chursinovys,18
salihover,17
popovaanvl,17
grafeeva,16
obedkovaav,16
mdobrobaba,16
zaripovagm,14
holodnayaev,11
boitsev,11
kuznecovaem,10
vlasovne,9
yakovlevairn,9
fastmotor,8
petrik,5
ulyanovay,5
egmichailova,4
bachelor_itmo,3
mariia_i,2
paaashaaa,2
rezaiann,1
dmitrysheshukov,1
rustamazimov19021995,1
larkk31,1
