pdf_name,scrolling_amount
0d391cafd38dcee302e7ba0953893fce,14
1._Введение_в_науку_о_данных.pdf,25040
1.Введение.pdf,101
10._NoSQL_хранилища_2021.pdf,84
103e560d1a3479b90ae797392b93195c,21
11._Redis_2021.pdf,64
12._MongoDB_2021.pdf,67
13._Cassandra_2021.pdf,62
14._Neo4j_2021.pdf,54
1866a1928e24b50984a6b998b661a78c,6
2.Python.pdf,466
2._Инструменты_обработки_данных.pdf,296
2010b54ee002120aee748a30f12957cf,25
2718aa420eb93c1ee64bd32ff1aa42d1,7
3._Визуализация_данных.pdf,217
4._Анализ_и_преобразование_данных.pdf,203
5._Работа_с_временными_рядами.pdf,43
5._Работа_с_временными_рядами_2022.pdf,116
58cd8e2261a1e7cffee8b9938af8ca6b,5
5f738708a76d00ddecbaf1bc1a38328a,17
6._Системы_управления_базами_данных.pdf,160
655b9f359b8a7f1bd5f9d6015c71508c,10
687363c6645f0cbad6cf59a46c166064,9
6ba1494022c328c9ed97e93c7e3acae4,20
7._Проектирование_структурированных_данных.pdf,206
75c11b31600ce1e45815dd7ff51d1195,4
8._Запросы_на_языке_SQL.pdf,187
8ad5c91631db69de2b4ece1374b57c18,2651
8b1838c8144539b8d90d55eb689b4eb7,3
9._Объекты_базы_данных.pdf,128
9c075f2e2dcc27f549c018be43a09db7,1
LogisticRegression.pdf,71
SVM.pdf,57
a16c74271c3b5bfde7445b4832793453,4
a51b00ef005b16dd748a88a2031f5b6f,7
b41c834ef0e26c255b36adebd1cf67d7,7
c9c17b72078ac8181da83d49c9f8c50c,8
d7f3c5e7f85e94466500f6d93ee924cd,4
e0b28830a99ff8627ee8953ce61cffcc,21
ebce93be2df5b99c1e325faa248feef2,26
ef0928081660bcfa60b403f1e31a7c03,5
f4de92de96e3ba36e51ad48367e2f1a5,14
fa1a3dedd10ba6772ffeef2aa66e4ac0,9
ffb5dd6e3d4c036db88f0cf4a509b8b8,12
norm_МГК.pdf,85
Классификаторы_KNN_и_наивный_байес_fin.pdf,85
Кластеризация_fin.pdf,60
Подкрепление.pdf,61
Регрессия_fin.pdf,83
Ресемплинг.pdf,47
Энтропия_и_ДПР.pdf,56
,0
